year,block,population,lat,long
2011,geoId/371190030111,1957,35.145394499999995,-80.8395605
2011,geoId/371190039022,1197,35.211229,-80.90070600000001
2011,geoId/371190057102,2192,35.1784695,-80.710296
2011,geoId/371190055131,1526,35.3556495,-80.79348949999999
2011,geoId/371190058362,1562,35.04335241384465,-80.8714821075385
2011,geoId/371190058382,1938,35.02389704752305,-80.85664390191306
2011,geoId/371190062131,3142,35.386033,-80.942173
2011,geoId/371190059121,1810,35.172948,-80.9459495
2011,geoId/371190060061,2756,35.266782,-80.9477735
2011,geoId/371190038082,3366,35.1451415,-80.8831715
2011,geoId/371190054032,1631,35.299853,-80.81793099999999
2011,geoId/371190055102,3091,35.321295,-80.81890899999999
2011,geoId/371190055171,3002,35.3818305,-80.77694500000001
2011,geoId/371190056051,1831,35.2871895,-80.739101
2011,geoId/371190057172,1363,35.1496275,-80.71935400000001
2011,geoId/371199802001,0,35.11269153918355,-80.9311720366167
2011,geoId/371190030082,1417,35.0925685,-80.8473765
2011,geoId/371190031082,1681,35.132495,-80.87016750000001
2011,geoId/371190059092,1623,35.148311,-80.980431
2011,geoId/371190020035,1241,35.154041500000005,-80.751387
2011,geoId/371190044001,857,35.269835,-80.88175
2011,geoId/371190058331,1376,35.106801,-80.752557
2011,geoId/371190064061,1814,35.4771675,-80.864209
2011,geoId/371190008002,321,35.2246005,-80.8232405
2011,geoId/371190010001,859,35.228124,-80.80537849999999
2011,geoId/371190010002,562,35.2224355,-80.8062315
2011,geoId/371190029041,1421,35.136827,-80.7963255
2011,geoId/371190055092,1946,35.366852,-80.79838799999999
2011,geoId/371190056172,116,35.2411375,-80.699849
2011,geoId/371190020023,1083,35.167858499999994,-80.80054849999999
2011,geoId/371190030075,821,35.1037065,-80.820869
2011,geoId/371190030172,2453,35.096198,-80.798002
2011,geoId/371190053012,224,35.2711045,-80.8040895
2011,geoId/371190056203,2264,35.232726,-80.6631795
2011,geoId/371190013002,1319,35.2378085,-80.7950055
2011,geoId/371190028003,1623,35.196599,-80.8223705
2011,geoId/371190043031,2441,35.2567285,-80.930545
2011,geoId/371190055213,3032,35.348136499999995,-80.7135405
2011,geoId/371190062142,2878,35.398709,-80.8856145
2011,geoId/371190056202,1498,35.2210795,-80.6678545
2011,geoId/371190056211,2959,35.247704999999996,-80.645573
2011,geoId/371190021002,1688,35.184026,-80.7842355
2011,geoId/371190027013,425,35.200238,-80.8350025
2011,geoId/371190030083,2053,35.0955725,-80.83498349999999
2011,geoId/371190031052,1995,35.126678999999996,-80.860822
2011,geoId/371190041002,1192,35.233034,-80.866022
2011,geoId/371190050002,42,35.2553965,-80.8397985
2011,geoId/371190041001,652,35.2391645,-80.866454
2011,geoId/371190020022,1794,35.169056999999995,-80.78590349999999
2011,geoId/371190058291,924,35.0933625,-80.873149
2011,geoId/371190058373,662,35.043779,-80.855079
2011,geoId/371190060091,1178,35.2883125,-80.950058
2011,geoId/371190062152,2264,35.36993,-80.89607000000001
2011,geoId/371190015071,1076,35.2472685,-80.74815749999999
2011,geoId/371190038064,1720,35.171371,-80.895601
2011,geoId/371190063023,2129,35.3987865,-80.78144549999999
2011,geoId/371190039031,1484,35.19988,-80.923427
2011,geoId/371190055132,1296,35.355603,-80.78488949999999
2011,geoId/371190013003,522,35.234831,-80.8022105
2011,geoId/371190022003,839,35.176302500000006,-80.8061445
2011,geoId/371190030073,1713,35.1190045,-80.816161
2011,geoId/371190030112,503,35.135864,-80.84208749999999
2011,geoId/371190031091,2368,35.122889,-80.8753845
2011,geoId/371190032031,2040,35.1771875,-80.865539
2011,geoId/371190058411,2649,35.045764000000005,-80.839594
2011,geoId/371190058281,1865,35.1071575,-80.8674
2011,geoId/371190058471,1259,35.0850365,-80.762772
2011,geoId/371190027012,973,35.2040445,-80.8300375
2011,geoId/371190030061,1823,35.1374345,-80.829318
2011,geoId/371190043051,3357,35.254017,-80.91192699999999
2011,geoId/371190055191,3261,35.372983500000004,-80.7536025
2011,geoId/371190056213,851,35.235493500000004,-80.617657
2011,geoId/371190058111,2084,35.1408275,-80.753492
2011,geoId/371190016091,830,35.2274075,-80.7420575
2011,geoId/371190017023,1063,35.202286,-80.768693
2011,geoId/371190019201,1853,35.182325,-80.7459675
2011,geoId/371190030062,2326,35.127661,-80.82997850000001
2011,geoId/371190059162,1045,35.128099500000005,-80.904678
2011,geoId/371199801001,0,35.211863,-80.94708349999999
2011,geoId/371190020033,1008,35.156510499999996,-80.770856
2011,geoId/371190052001,603,35.2535505,-80.81764799999999
2011,geoId/371190058422,1581,35.0450125,-80.8034475
2011,geoId/371190059142,1189,35.116879999999995,-80.96891550000001
2011,geoId/371190064041,1609,35.4896575,-80.809392
2011,geoId/371190030181,2237,35.10772,-80.785683
2011,geoId/371190058372,1566,35.034369999999996,-80.84511499999999
2011,geoId/371190064033,1510,35.4880145,-80.83791199999999
2011,geoId/371190015073,1021,35.2417685,-80.744219
2011,geoId/371190029043,1149,35.143721,-80.811117
